Date, Open, High, Low, Close
03/29/2020,2541.47,2541.47,2541.47,2541.47
03/30/2020,2558.98,2631.8,2545.28,2626.65
03/31/2020,2614.69,2641.39,2571.15,2584.59
04/01/2020,2498.08,2522.75,2447.49,2470.5
04/02/2020,2458.54,2533.22,2455.79,2526.9
04/03/2020,2514.92,2538.18,2459.96,2488.65
04/04/2020,2514.92,2538.18,2459.96,2488.65
04/05/2020,2514.92,2538.18,2459.96,2488.65
04/06/2020,2578.28,2676.85,2574.57,2663.68
04/07/2020,2738.65,2756.89,2657.67,2659.41
04/08/2020,2685,2760.75,2663.3,2749.98
04/09/2020,2776.99,2818.57,2762.36,2789.82
04/10/2020,2789.82,2789.82,2789.82,2789.82
04/11/2020,2789.82,2789.82,2789.82,2789.82
04/12/2020,2789.82,2789.82,2789.82,2789.82
04/13/2020,2782.46,2782.46,2721.17,2761.63
04/14/2020,2805.1,2851.85,2805.1,2846.06
04/15/2020,2795.64,2801.88,2761.54,2783.36
