Date,Open,High,Low,Close
06/25/2021,3991.23,4012.51,3983.9,4006.67
06/25/2021,3991.23,4012.51,3983.9,4006.67
06/25/2021,3991.23,4012.51,3983.9,4006.67
06/24/2021,3968.2,3985.09,3949.91,3976.41
06/23/2021,3963.37,3975.54,3948.17,3971.45
06/22/2021,3932.87,3985.59,3932.24,3965.51
06/21/2021,3989.06,3989.06,3907.35,3924.38
06/18/2021,4029.9,4029.9,3993,3997.72
06/18/2021,4029.9,4029.9,3993,3997.72
06/18/2021,4029.9,4029.9,3993,3997.72
06/17/2021,4037.73,4043.53,4024.4,4035.97
06/16/2021,4073.4,4081.01,4065.8,4069.17
06/15/2021,4058.17,4084.59,4055.64,4073.96
06/14/2021,4065.32,4067.43,4052.92,4056.87
06/11/2021,4061.49,4072.61,4043.53,4056.98
06/11/2021,4061.49,4072.61,4043.53,4056.98
06/11/2021,4061.49,4072.61,4043.53,4056.98
06/10/2021,4039.41,4069.87,4039.08,4056.79
06/09/2021,4068.9,4074.29,4045.8,4046.4
06/08/2021,4080.63,4091.65,4066.83,4074.93
06/07/2021,4096.04,4099.26,4060.86,4079.35
06/04/2021,4058.01,4088.89,4044.58,4084.34
06/04/2021,4058.01,4088.89,4044.58,4084.34
06/04/2021,4058.01,4088.89,4044.58,4084.34
06/03/2021,4070.83,4110.74,4064.59,4068.6
06/02/2021,4068.44,4079.44,4054.85,4068.25
06/01/2021,4049,4061.76,4030.76,4059.78
05/31/2021,4030.22,4043.36,4021.5,4041.83
05/28/2021,3995.09,4048.35,3995.09,4037.17
05/27/2021,3999.47,4003.77,3973.02,3978.66
05/27/2021,3999.47,4003.77,3973.02,3978.66
05/27/2021,3999.47,4003.77,3973.02,3978.66
05/26/2021,4001.75,4021.23,3996.98,4003.04
05/25/2021,3977.76,4009.59,3973.13,4001.55
05/24/2021,3957.19,3977.29,3954.45,3970.58
05/21/2021,3948.14,3973.36,3943.05,3964.09
05/20/2021,3921.39,3944.96,3916,3941.72
05/20/2021,3921.39,3944.96,3916,3941.72
05/20/2021,3921.39,3944.96,3916,3941.72
05/19/2021,3961.34,3961.34,3929.1,3941.16
05/18/2021,3897.39,3976.33,3897.39,3973.14
05/17/2021,3904.96,3908.91,3873.52,3891.74
05/14/2021,3862.5,3897.13,3862.22,3892.84
05/13/2021,3889.12,3890.9,3842.62,3849.09
05/13/2021,3889.12,3890.9,3842.62,3849.09
05/13/2021,3889.12,3890.9,3842.62,3849.09
05/12/2021,3955.42,3957.98,3878.14,3905.29
05/11/2021,4036.25,4038.17,3947.5,3959.08
05/10/2021,4048.8,4071.73,4043.1,4056.19
05/07/2021,4011.46,4040.39,4001.68,4035.8
05/06/2021,3963.42,4012.75,3962.58,4009.12
05/06/2021,3963.42,4012.75,3962.58,4009.12
05/06/2021,3963.42,4012.75,3962.58,4009.12
05/05/2021,3943.42,3965.15,3943.42,3955.3
05/04/2021,3952.71,3956.78,3937.3,3944.44
05/03/2021,3963.49,3973.77,3932.71,3953.96
04/30/2021,4033.48,4034.8,3961.41,3963.84
04/30/2021,4033.48,4034.8,3961.41,3963.84
04/30/2021,4033.48,4034.8,3961.41,3963.84
04/29/2021,4039.02,4054.06,4025.9,4030.03
04/28/2021,4018.36,4032.65,4007.62,4028.96
04/27/2021,4036.4,4039.2,4013.39,4020.44
04/26/2021,4034.76,4059.09,4029.28,4039.34
04/23/2021,3995.24,4034.09,3986.75,4022.48
04/23/2021,3995.24,4034.09,3986.75,4022.48
04/23/2021,3995.24,4034.09,3986.75,4022.48
04/22/2021,3983.27,4010.02,3980.98,4007.23
04/21/2021,3992.96,3995.89,3945.84,3964.45
04/20/2021,4035.49,4035.49,4010.59,4017.2
04/19/2021,4047.61,4061.19,4033.23,4050.9
04/16/2021,4054.3,4057.74,4029.49,4049.65
04/16/2021,4054.3,4057.74,4029.49,4049.65
04/16/2021,4054.3,4057.74,4029.49,4049.65
04/15/2021,4038.4,4052.61,4020.12,4049.15
04/14/2021,4007.91,4027.89,3999.71,4026.32
04/13/2021,3996.15,4026.33,3989.12,4003.33
04/12/2021,4008.35,4015.01,3984.4,3989.69
04/09/2021,4036.99,4047.59,4001.58,4008.86
04/09/2021,4036.99,4047.59,4001.58,4008.86
04/09/2021,4036.99,4047.59,4001.58,4008.86
04/08/2021,4010.45,4033.92,4000.21,4029.31
04/07/2021,4040.95,4049.11,4011.55,4022.59
04/06/2021,4056.46,4058.13,4017.61,4035.23
04/05/2021,4033.42,4055.34,4030.76,4050.83
04/02/2021,4024.52,4038.6,4024.52,4030.96
04/02/2021,4024.52,4038.6,4024.52,4030.96
04/02/2021,4024.52,4038.6,4024.52,4030.96
04/01/2021,3980.73,4009.81,3978.07,4009.12
03/31/2021,4014.93,4022.97,3978.17,3984.76
03/30/2021,4023.39,4028.87,4001.81,4011.7
03/29/2021,4013.38,4037.17,4005.5,4024.42
03/26/2021,3971.06,4022.65,3970.04,4015.77
03/25/2021,3971.87,4000.59,3957.64,3970.16
03/25/2021,3971.87,4000.59,3957.64,3970.16
03/25/2021,3971.87,4000.59,3957.64,3970.16
03/24/2021,4051.34,4054.67,3970.67,3974.1
03/23/2021,4094.1,4111.02,4051.75,4058.81
03/22/2021,4108.09,4110.71,4067.54,4093.57
03/19/2021,4132.2,4132.21,4086.15,4109.57
03/18/2021,4107.82,4159.81,4102.68,4138.26
03/18/2021,4107.82,4159.81,4102.68,4138.26
03/18/2021,4107.82,4159.81,4102.68,4138.26
03/17/2021,4106.75,4108.13,4086.49,4091.23
03/16/2021,4084.07,4115.28,4083.9,4107.39
03/15/2021,4076.75,4108.17,4070.63,4085.3
03/12/2021,4084.18,4117.47,4071.2,4077.59
03/11/2021,4084.18,4088.06,4084.18,4088.06
03/11/2021,4084.18,4088.06,4084.18,4088.06
03/11/2021,4084.18,4088.06,4084.18,4088.06
03/10/2021,4054.5,4054.5,4052.76,4052.76
03/09/2021,4051.93,4051.95,4051.55,4051.64
03/08/2021,3997.1,3997.19,3996.99,3997.02
03/05/2021,4047.28,4058.17,3982.95,4035.7
03/04/2021,4145.45,4145.45,4038.17,4062.59
03/04/2021,4145.45,4145.45,4038.17,4062.59
03/04/2021,4145.45,4145.45,4038.17,4062.59
03/03/2021,4145.45,4145.45,4142.79,4142.79
03/02/2021,4077.9,4084.16,4077.9,4084.04
03/01/2021,4094.01,4096.16,4094.01,4095.91
02/26/2021,4177.14,4177.51,4011.71,4019.02
02/25/2021,4177.14,4177.24,4176.76,4176.76
02/24/2021,4131.44,4135.33,4131.44,4135.07
02/23/2021,4207.39,4207.39,4203.26,4203.26
02/22/2021,4196.17,4196.42,4196.01,4196.12
02/19/2021,4227.88,4228.92,4158.25,4190.2
02/18/2021,4227.88,4228.65,4227.88,4228.49
02/17/2021,4258.33,4258.33,4258.33,4258.33
02/16/2021,4234.13,4240.62,4234.13,4240.34
02/15/2021,4207.54,4210.69,4207.54,4210.69
02/12/2021,4178.67,4183.82,4164.57,4171.81
02/11/2021,4178.67,4178.67,4176.96,4177.06
02/10/2021,4162.73,4162.79,4162.25,4162.7
02/09/2021,4121.55,4122.54,4121.55,4122.54
02/08/2021,4107.05,4108.78,4107.02,4108.78
02/05/2021,4004.81,4066.44,4003.59,4063.19
02/04/2021,4004.81,4004.97,4003.59,4004.2
02/03/2021,4028.59,4029.19,4028.33,4028.43
02/02/2021,3981.44,3981.59,3979.15,3979.18
02/01/2021,3926.73,3929.86,3926.73,3929.69
01/29/2021,3923.77,3948.19,3853.52,3860.84
01/28/2021,3923.77,3925.33,3923.64,3925.33
01/28/2021,3923.77,3925.33,3923.64,3925.33
01/28/2021,3923.77,3925.33,3923.64,3925.33
01/27/2021,4008.48,4008.51,4007.97,4008.01
01/26/2021,4031.37,4031.37,4031.37,4031.37
01/25/2021,4041.74,4085.39,4039.33,4077.58
01/22/2021,4083.76,4085.73,4039.9,4043.4
