Date,Open,High,Low,Close
06/25/2021,14400.81,14409.08,14337.65,14360.39
06/24/2021,14357.27,14414.46,14333.7,14369.71
06/23/2021,14263.38,14317.66,14246.3,14271.73
06/22/2021,14138.29,14269.77,14121,14253.27
06/21/2021,14047.42,14150.78,13960.04,14141.48
06/21/2021,14047.42,14150.78,13960.04,14141.48
06/21/2021,14047.42,14150.78,13960.04,14141.48
06/18/2021,14096.93,14129.22,14009.04,14030.38
06/17/2021,13999.13,14196.21,13998.93,14161.35
06/16/2021,14085.55,14129.69,13903.73,14039.68
06/15/2021,14166.64,14171.02,14052.16,14072.86
06/14/2021,14083.47,14175.45,14056.67,14174.14
06/14/2021,14083.47,14175.45,14056.67,14174.14
06/14/2021,14083.47,14175.45,14056.67,14174.14
06/11/2021,14030.85,14069.42,14006.59,14069.42
06/10/2021,13933.88,14031.19,13904.4,14020.33
06/09/2021,13980.23,14003.5,13906.45,13911.75
06/08/2021,13946.32,13981.72,13831.98,13924.91
06/07/2021,13802.82,13889.11,13784.89,13881.72
06/07/2021,13802.82,13889.11,13784.89,13881.72
06/07/2021,13802.82,13889.11,13784.89,13881.72
06/04/2021,13697.25,13826.82,13692.01,13814.49
06/03/2021,13655.75,13684.13,13548.93,13614.51
06/02/2021,13743.24,13775.9,13689.73,13756.33
06/01/2021,13829.06,13836.17,13678.77,13736.48
05/28/2021,13792.05,13820.87,13747.61,13748.74
05/27/2021,13742.59,13776.52,13701.63,13736.28
05/26/2021,13693.94,13750.16,13679.59,13738
05/25/2021,13721.54,13751.14,13631.8,13657.17
05/24/2021,13557.21,13708.85,13551.01,13661.17
05/21/2021,13616.19,13616.58,13463.27,13470.99
05/20/2021,13356.63,13563.52,13355.71,13535.74
05/19/2021,13078.19,13304.61,13072.23,13299.74
05/18/2021,13416.9,13485.34,13299.93,13303.64
05/17/2021,13368.8,13399.17,13265.4,13379.05
05/14/2021,13255.65,13460.88,13242.97,13429.98
